"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Search Volume","Search Volume Trend","H10 PPC Sugg. Bid","H10 PPC Sugg. Min Bid","H10 PPC Sugg. Max Bid","Sponsored ASINs","CPR","Amazon Recommended","Sponsored","Organic","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"vimergy lemon balm",79.6,75.8,33,747,1,1.46,1.27,1.66,38,11,1,0,1,4,"-",4
"lemon balm vimergy",78.1,70,12,409,9,1.91,1.25,2.09,31,8,1,0,1,205,"-",4
"vimergy lemon balm liquid organic",83.9,40,10,402,7,,,,22,8,1,0,1,34,"-",4
"lemon peel tincture",,,"-",255,-13,,,,83,8,1,1,1,124,11,4
"lemon balm￼",,,"-",253,-37,1.11,0.81,1.25,265,8,0,1,1,"-",35,4
"lemon balm elixir",,,"-",256,-35,,,,53,8,0,1,1,"-",5,4
"lemon balm oil herpes",,,"-",290,-6,,,,36,8,0,1,1,"-",1,4
"te de limon elire gotas",92,100,2,474,-31,1,0.8,1.1,16,8,0,0,1,"-","-",4
"eliee lemon balm",98.3,83.3,6,493,12,1.14,0.91,1.5,40,9,0,1,1,"-",2,4
"lemon balm elira",,,3,303,-23,1.28,1.15,1.73,43,8,0,1,1,"-",2,4
"organic lemon balm weight loss",,,"-",334,"-",,,,0,8,0,0,1,"-","-",4
"herb pharm lemon balm",77.8,28.6,7,377,-12,,,,63,8,0,1,1,"-",1,5
"lemon balm supplements",,,"-",299,-12,1.22,0.91,1.73,243,8,0,1,1,"-",34,5
"vimergy ashwagandha",89.2,100,9,431,-7,2.51,1.72,2.84,181,8,0,0,1,"-","-",5
"ashwagandha vimergy",,,5,351,-12,2.35,1.73,2.76,119,8,0,0,1,"-","-",5
"lemon balm mary ruth",,,6,314,-58,1.72,1.15,2.03,104,8,0,1,1,"-",1,5
"organic lemon balm leaf liquid extract",,,"-",302,-7,1.2,0.76,1.74,106,8,0,1,1,"-",20,5
"lemon balm leaf drops",,,"-",258,14,,,,174,8,0,1,1,"-",1,5
"lemon extract supplement",,,5,328,13,1.59,1.05,2.14,162,8,1,1,1,57,12,5
"elrie lemon balm",,,6,335,-11,0.82,0.66,0.84,21,8,0,1,1,"-",2,5
"mary ruth lemon balm leaf extract",,,"-",298,-24,1.16,0.98,1.79,28,8,0,0,1,"-","-",5
"elire - organic lemon balm tea",,,"-",268,-51,1.25,0.93,1.59,47,8,0,1,1,"-",1,5
"essential oil lemon balm",,,"-",338,53,,,,105,8,0,1,1,"-",3,6
"lemon balm for kids",69.5,80,5,428,12,,,,114,8,0,0,1,"-","-",6
"eriocitrine lemon supplement",45.4,,"-",415,3,1.82,1.5,2.36,24,8,0,0,1,"-","-",6
"lemon balm vitamin",,,4,295,"-",,,,43,8,1,1,1,279,17,6
"lemon balm essential oil",41.8,43.5,23,747,-13,1.26,1.07,1.45,275,11,0,1,1,"-",3,7
"lemon balm essential oil organic",46.7,61.5,13,398,-15,1.79,1.31,2.15,194,8,0,1,1,"-",1,7
"lemon balm supplement",53.1,60.9,23,884,-8,1.43,1.14,1.79,323,12,1,1,1,18,1,7
"lemon balm drink",42.9,,3,385,-31,1.39,1.05,1.83,299,8,1,1,1,92,1,7
"lemon balm wild harvest",,,6,292,"-",1.02,0.88,1.68,46,8,0,1,1,"-",9,9
"vimergy supplements",,,"-",341,14,,,,89,8,0,0,1,"-","-",9
"lemon balm melissa officinalis",,,"-",289,-5,,,,147,8,0,1,1,"-",1,10
